No|entity|annotation|index1|index2|sentence
0|SERVICE|turn|17|21|my smart home to turn on certain lights at dusk
1|SERVICE|sync|17|21|my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work
2|SERVICE|ring|20|24|my smart home to to ring when my favorite shows are about to start
3|SERVICE|regulate|17|25|my smart home to regulate ideal temperature according to my personal preferences and the outside temperature
4|SERVICE|send|17|21|my smart home to send me a text when my kid gets home from school
5|SERVICE|send|17|21|my smart home to send me a push notification when my kids arrive home from school
7|SERVICE|buzz|17|21|my smart home to buzz when the shower is warm to my desired temperature
8|SERVICE|sync|17|21|my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up
9|SERVICE|shut|17|21|my smart home to shut off the sink after two minutes when brushing my teeth
10|SERVICE|lock|17|21|my smart home to lock the doors at night
11|SERVICE|adjust|17|23|my smart home to adjust the temperature based on the weather outside
12|SERVICE|open|17|21|my smart home to open my garage door when it senses my vehicle arriving outside of it
13|SERVICE|shut|17|21|my smart home to shut the lights off for me in rooms with nobody in them
14|SERVICE|monitor|17|24|my smart home to monitor my energy use and make recommendations to reduce energy consumption
15|SERVICE|buzz|17|21|my smart home to buzz my room if there is a disturbance in my baby's room
16|SERVICE|turn on|27|34|an outdoor safety light to turn on at night when it senses something other than a family member or pet outside
17|SERVICE|notify|17|23|my smart home to notify me when someone other than a family member or trusted other is near my home
18|SERVICE|calculate|17|26|my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)
19|SERVICE|sync|17|21|my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time
20|SERVICE|notify|17|23|my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label
21|SERVICE|analyze and recommend|17|38|my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.)
23|SERVICE|monitor|17|24|my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home
26|SERVICE|greet|17|22|my smart home to greet and take pictures of anyone who enters my home who is not a registered occupant
27|SERVICE|inform|17|23|my smart home to inform me of any weather alerts for my area
28|SERVICE|provide|17|24|my smart home to provide news and updates on my hobbies
29|SERVICE|monitor|17|24|my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed
31|SERVICE|control|3|10|to control my stovetops with my smartphone or tablet 
32|SERVICE|listen|15|21|the ability to listen to my music in every room in the house simultaneously
33|SERVICE|silence|17|24|my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency
34|SERVICE|switches off|16|28|the electricity switches off when no one is inside the room
35|SERVICE|create|17|23|my smartphone to create an environment (lighting, sound, temperature) 
36|SERVICE|clean|17|22|my smart home to clean the floors regularly
37|SERVICE|adjust|20|26|the radio system to adjust volume based on the distance of the people
38|SERVICE|feed|17|21|my smart home to feed and water the pets on a schedule
39|SERVICE|clean|11|16|a robot to clean windows
40|SERVICE|switch|26|32|the central a/c system to switch between cooling and heating based on temperature
41|SERVICE|run|22|25|the vacuum cleaner to run automated on scheduled timings
43|SERVICE|control|10|17|an app to control the shades/blinds on my windows 
44|SERVICE|organizes|14|23|a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit
45|SERVICE|Adjust|0|6|Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of)
46|SERVICE|change|20|26|my room lighting to change lighting effect based on the time of day
47|SERVICE|sends|20|25|a smart device that sends out photos of person who enter through the main gate
48|SERVICE|alert|17|22|My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway.
49|SERVICE|unlock|3|9|to unlock the door from a remote location that has an alert with video feed
51|SERVICE|turn|21|25|my smart home  to to turn on the tv when I get home
53|SERVICE|clean|13|18|House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner)
54|SERVICE|lower|17|22|my smart home to lower the thermostat at night
55|SERVICE|save|0|4|save my home energy 
56|SERVICE|switch|15|21|my smart TV to switch to the sports channel when the sports game begins
57|SERVICE|heats|19|24|Home automatically heats precooked meal based on approximate of arrival (based on GPS location)
58|SERVICE|screen|18|24|my smart house to screen all forms of communication including visitors
59|SERVICE|secure|42|48|my smart home to actively and proactively secure itself
60|SERVICE|alert|17|22|my smart home to alert me when I am about to run out of medication
61|SERVICE|turn|17|21|my smart home to turn on the sprinkers when there is a fire
63|SERVICE|convert|18|25|my smart house to convert a room (move furniture, have mirrors, and have a place for media)
64|SERVICE|monitor|17|24|my smart home to monitor energy use and excess
65|SERVICE|alert|17|22|my smart home to alert me when there is more than one person in the house
66|SERVICE|turn off/on|15|26|the ability to turn off/on lights in different rooms with voice commands.
67|SERVICE|alert|17|22|my smart home to alert me when my children are not home by their usual time
68|SERVICE|activate|17|25|my smart home to activate safety features such as window coverings
69|SERVICE|remember|17|25|my smart home to remember entertainment preferences, such as music or videos
70|SERVICE|check|19|24|home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air
72|SERVICE|capture|17|24|My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway
74|SERVICE|switch|31|37|my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget.
76|SERVICE|start|22|27|my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home
77|SERVICE|sense and inform|17|33|my smart home to sense and inform small or tiny movable living things like mosquitoes, termites.
78|SERVICE|protect|3|10|to protect my objects 
79|SERVICE|alert|17|22|my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door
80|SERVICE|alarm|17|22|my smart home to alarm me if danger
82|SERVICE|contact|18|25|my smart house to contact the police
83|SERVICE|switch on|0|9|switch on any lights automatically when dark falls and switch off in the morning automatically.
84|SERVICE|shut off|17|25|my smart home to shut off the air when the room is at the right temperature 
87|SERVICE|lock|17|21|my smart home to lock all doors at once 
88|SERVICE|open|31|35|my smart home to automatically open windows with the help of remote control
89|SERVICE|capture|17|24|my smart home to capture a picture, open a communication channel, and alert me via a specific sound and a text message via mobile phone when a person rings my doorbell or knocks on my front or rear door
91|SERVICE|switch off|16|26|my smarthome to switch off All the bulbs after 10 pm automaticaly
92|SERVICE|inform|17|23|my smart home to inform me quickly when my solar water heater does heat water
93|SERVICE|secure|3|9|to secure my house and my family when there is a gas leakage.
94|SERVICE|switch off|3|13|to switch off TV, Radio and other Leisure gadgets after 10 pm 
95|SERVICE|control|0|7|control the temperature in my room.
96|SERVICE|start|31|36|my smart home to automatically start radio in specific timings 
97|SERVICE|open and close|31|45|my smart home to automatically open and close my garage door when I approach and leave my home in my car
99|SERVICE|alert|22|27|my smarthome clock to alert my child to eat food at regular and correct time
102|SERVICE|turn off|24|32|lights to automatically turn off when no motion is detected in a room
103|SERVICE|learns|18|24|a thermostat that learns my schedule and self-adjusts
104|SERVICE|preheats|13|21|an oven that preheats at set intervals
105|SERVICE|maintain|18|26|A/C automatically maintain the perfect temperature by calculating  past usage patterns.
106|SERVICE|surveillance|26|38|remote wireless access to surveillance cameras
107|SERVICE|set|3|6|to set an alarm on all the water pipes 
110|SERVICE|notify|17|23|my smart home to notify me via text message when my internet service bandwidth declines below a pre-specified speed, and also keeps track of bandwidth outages and speed reductions
111|SERVICE|show|11|15|Thermostat show temperature from across the room and give recommend to heat or cool the room. 
112|SERVICE|lock up|12|19|my doors to lock up automatically after a mentioned time
113|SERVICE|notify|17|23|my smart home to notify me via text message when regular tests of my various installed smart home technologies indicate a specific technology malfunction or failure
115|SERVICE|open|3|7|to open front gate of my home automatically when my vehicle approach to gate and close after vehicle pass the gate
116|SERVICE|clean|16|21|smart device to clean your windows automatically
117|SERVICE|close|31|36|my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day
118|SERVICE|manage|17|23|my smart home to manage electicity of home. when some activity or movement is going on the lights get auto on for some specific time but if there is no activity going on like room is vacant or people are sleeping then it can auto sensor and switch off the lights and also maintain the brightness of lights.
119|SERVICE|clean|19|24|smart snowlance to clean snow on my home roof automatically
120|SERVICE|monitor|17|24|my smart home to monitor my body temprature and manage the home temprature according to that.
121|SERVICE|blink|11|16|my home to blink a red bulb whenever someone is starring for more then one minute to the home
122|SERVICE|ring|17|21|my smart home to ring bell in all over the home 
123|SERVICE|collect|17|24|my smart home to collect and manage the various power requirements of my smart appliances, heating and cooling technologies, and my security and access systems, and I wish to be alerted via text message via mobile phone when power-related problems, spikes or failures occur
125|SERVICE|change|17|23|my smart home to change the fragrence of home in every few hours
126|SERVICE|maintain|6|14|it to maintain the temperature and ask person at home or other place if the temperature should be higher or lower.
128|SERVICE|watch|6|11|it to watch people who get close to the house and alert the homeowner if they are suspicious.
129|SERVICE|check|6|11|it to check each room and turn off lights if a person is not in the room
130|SERVICE|check|6|11|it to check the contents of the refirgerator and inform user if the milk is too old or when to get new food.
131|SERVICE|beep|16|20|my smarthome to beep when there is a rodent inside my home
132|SERVICE|turn on|30|37|my smarthome to automatically turn on the television whenever my favorite show is telecast. 
133|SERVICE|turn on|6|13|it to turn on the TV to the news channel of the user's choice when important news is happening
134|SERVICE|alert|16|21|my smarthome to alert me when there is water flooding in my home during the rainy season
135|SERVICE|prepare|6|13|it to prepare the bath when a user wants it at a perfect temperature and with bubbles if needed.
136|SERVICE|buzz|16|20|my smarthome to buzz me whenever my dog poops inside my home
137|SERVICE|prepeare|6|14|it to prepeare the coffee in the morning before user wakes up
138|SERVICE|alert|16|21|my smarthome to alert me whenever someone sets up a spycam inside my home. 
139|SERVICE|remind|6|12|it to remind the person to go to bed at a specific time for school,work or special occasion
140|SERVICE|turn off|30|38|my smarthome to automatically turn off the lights whenever I leave my home
141|SERVICE|alert|16|21|my smarthome to alert me whenever there is a gas leak inside my home
142|SERVICE|wash|6|10|it to wash the dishes at the best time available
143|SERVICE|alert|16|21|my smarthome to alert me whenever the amount of milk in my fridge is too low
144|SERVICE|turn|6|10|it to turn on the outside lights at night and turn them off in the morning also dim lights when light isn't needed so bright
145|SERVICE|give|16|20|my smarthome to give an update on the weather when I am about to leave my home
146|SERVICE|monitor|6|13|it to monitor people with health problems so if something is wrong the medical emergency agents gets called
147|SERVICE|turn on|6|13|it to turn on the oven at a specific time agreed upon by a person
148|SERVICE|stay|19|23|dangerous doors to stay locked
149|SERVICE|stay|9|13|doors to stay locked
150|SERVICE|record|11|17|cameras to record
151|SERVICE|save|9|13|items to save energy
152|SERVICE|dim|10|13|lights to dim when i'm gone
156|SERVICE|warn|13|17|something to warn me if there is an electrical problem in the wall
157|SERVICE|alerts|15|21|something that alerts me when my dog gets too close to dangerous foods or things
158|SERVICE|alert|17|22|my smart home to alert authorities when it detects the presence of carbon monoxide or fire.
159|SERVICE|change|18|24|smart lights that change throughout the time of day
160|SERVICE|turn|18|22|My smart house to turn the lights off after there is no movment in a room for 20 min
161|SERVICE|warn|17|21|my television to warn me when a rated R movie is coming on
162|SERVICE|warn|13|17|something to warn me when the stove isn't working right
163|SERVICE|recognize|17|26|my smart home to recognize a durress phrase,
164|SERVICE|kick|11|15|a light to kick on when someone approaches my door
165|SERVICE|restrict|17|25|my smart home to restrict tv channels when my child turns on the tv (perhaps via a profile menu or something)
166|SERVICE|alert|26|31|smoke detectors that will alert me if I am away from home
167|SERVICE|alerts|15|21|something that alerts me when my dog is in the trash
168|SERVICE|determine|27|36|the house to automatically determine the right temperature to set the thermostat
169|SERVICE|turn off|17|25|my smart home to turn off internet access for my child's playstation or computer when a certain time period (to be specified by adult) has been reached
170|SERVICE|lock|26|30|My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde
171|SERVICE|shut|27|31|the house to automatically shut off lights in rooms without occupants
172|SERVICE|turn off|10|18|lights to turn off if no one has entered a room during a given period
173|SERVICE|turn off|17|25|my smart home to turn off lights in rooms when no motion is detected after 15 minutes
